Time (s),Delta Time (s),Velocity (m/s),Battery Voltage (V),Motor Speed (RPM),Throttle Demand,Motor Torque (Nm),Motor Power (kW),Current Draw (A),Tractive Force (N),Drag Force (N),Net Force (N),Total Discharged (Ah),Delta Discharged (Ah)
1.9600000000000015,0.01,16.619316287767553,101.21955873616419,2509.1348660925105,1,162.53817048667037,42.70473200408307,421.90197761478015,2569.7734464295713,77.95942360671107,2491.8140228228604,2.910286632107685,0.0011719499378188337
1.9700000000000015,0.01,16.702376755194983,101.14686275049138,2521.6750880371096,1,162.53817048667037,42.918162866111544,424.3153143759078,2569.7734464295713,78.74062632078753,2491.0328201087837,2.911458582045504,0.0011786536510441884
1.9800000000000015,0.01,16.78541118253194,101.07406262765926,2534.211378526421,1,162.53817048667037,43.13152681593584,426.7319002979579,2569.7734464295713,79.52547687434739,2490.247969555224,2.912637235696548,0.0011853663897165496
1.9900000000000015,0.01,16.868419448183783,101.00115794267519,2546.743719202445,1,162.53817048667037,43.34482354110827,429.1517485939054,2569.7734464295713,80.31397044772024,2489.459475981851,2.9138226020862645,0.0011920881905386261
2.0000000000000013,0.01,16.951401430716512,100.92814826686524,2559.27209173144,1,162.53817048667037,43.55805272959396,431.5748725957166,2569.7734464295713,81.10610220113718,2488.667344228434,2.915014690276803,0.0011988190905436573
2.010000000000001,0.01,17.03435700885746,100.85503316785007,2571.79647780402,1,162.53817048667037,43.77121406977258,434.00128575561956,2569.7734464295713,81.90186727479303,2487.8715791547784,2.916213509367347,0.0012055591270989433
2.020000000000001,0.01,17.11728606149595,100.7818122095057,2584.316859135255,1,162.53817048667037,43.98430725044006,436.43100164745283,2569.7734464295713,82.70126078890858,2487.0721856406626,2.917419068494446,0.0012123083379095912
2.0300000000000007,0.01,17.200188467683972,100.70848495192215,2596.8332174647753,1,162.53817048667037,44.1973319608103,438.864033968041,2569.7734464295713,83.50427784379315,2486.269168585778,2.9186313768323555,0.001219066761022336
2.0400000000000005,0.01,17.283064106636832,100.63505095136082,2609.345534556867,1,162.53817048667037,44.41028789051686,441.3003965385912,2569.7734464295713,84.3109135199071,2485.4625329096643,2.919850443593378,0.0012258344348294202
2.0500000000000003,0.01,17.36591285773382,100.56150976021162,2621.8537922005758,1,162.53817048667037,44.6231747296147,443.7401033061101,2569.7734464295713,85.12116287792497,2484.652283551646,2.9210762780282074,0.001232611398072528
2.06,0.01,17.448734600518875,100.48786092694932,2634.3579722098025,1,162.53817048667037,44.83599216858179,446.1831683448389,2569.7734464295713,85.93502095879832,2483.838425470773,2.92230888942628,0.001239397689846775
2.07,0.01,17.531529214701234,100.41410399608928,2646.858056423408,1,162.53817048667037,45.048739898320925,448.6296058577129,2569.7734464295713,86.75248278381947,2483.0209636457516,2.9235482871161267,0.0012461933496047582
2.0799999999999996,0.01,17.614296580156093,100.34023850814253,2659.3540267053063,1,162.53817048667037,45.261417610161295,451.07943017783805,2569.7734464295713,87.57354335468465,2482.1999030748866,2.9247944804657315,0.0012529984171606612
2.0899999999999994,0.01,17.697036576925257,100.26626399957036,2671.8458649445656,1,162.53817048667037,45.47402499586021,453.5326557699913,2569.7734464295713,88.3981976535579,2481.3752487760134,2.926047478882892,0.0012598129326944203
2.099999999999999,0.01,17.77974908521779,100.19218000273796,2684.333553055509,1,162.53817048667037,45.68656174760481,455.98929723214263,2569.7734464295713,89.22644064313512,2480.5470057864363,2.9273072918155867,0.001266636936755952
2.109999999999999,0.01,17.86243398541067,100.11798604586775,2696.817072977808,1,162.53817048667037,45.89902755801365,458.44936929699736,2569.7734464295713,90.058267266708,2479.7151791628635,2.9285739287523427,0.0012734704702694372
2.1199999999999988,0.01,17.945091158049433,100.04368165299171,2709.2964066765835,1,162.53817048667037,46.11142212013842,460.9128868335635,2569.7734464295713,90.89367244822859,2478.8797739813426,2.929847399222612,0.0012803135745376765
2.1299999999999986,0.01,18.02772048384881,99.9692663439032,2721.7715361425007,1,162.53817048667037,46.3237451274656,463.3798648487404,2569.7734464295713,91.7326510923737,2478.040795337198,2.93112771279715,0.001287166291246501
2.1399999999999983,0.01,18.110321843693384,99.89473963410806,2734.2424433918704,1,162.53817048667037,46.535996273918116,465.85031848893135,2569.7734464295713,92.57519808460984,2477.1982483449615,2.9324148790883964,0.0012940286624692537
2.149999999999998,0.01,18.192895118638216,99.82010103477492,2746.709110466738,1,162.53817048667037,46.74817525385689,468.3242630416789,2569.7734464295713,93.42130829125787,2476.3521381383134,2.933708907750866,0.0013009007306713303
2.159999999999998,0.01,18.275440189909492,99.74535005268484,2759.171519434987,1,162.53817048667037,46.960281762082644,470.8017139373267,2569.7734464295713,94.27097655955853,2475.5024698700126,2.9350098084815373,0.0013077825387147965
2.1699999999999977,0.01,18.357956938905158,99.67048619018018,2771.6296523904343,1,162.53817048667037,47.172315493837424,473.28268675070404,2569.7734464295713,95.12419771773739,2474.649248711834,2.936317591020252,0.0013146741298630667
2.1799999999999975,0.01,18.44044524719555,99.59550894511275,2784.08349145292,1,162.53817048667037,47.38427614480619,475.7671972028352,2569.7734464295713,95.98096657507075,2473.7924798545005,2.937632265150115,0.0013215755477856534
2.1899999999999973,0.01,18.522904996524034,99.52041781079119,2796.5330187684103,1,162.53817048667037,47.596163411118624,478.2552611626765,2569.7734464295713,96.84127792195116,2472.93216850762,2.9389538406979008,0.0013284868365629904
2.199999999999997,0.01,18.60533606880762,99.44521227592743,2808.9782165090896,1,162.53817048667037,47.80797698935054,480.7468946488775,2569.7734464295713,97.70512652995333,2472.068319899618,2.940282327534464,0.0013354080406913266
2.209999999999997,0.01,18.687738346137607,99.36989182458254,2821.4190668734495,1,162.53817048667037,48.01971657652557,483.2421138315686,2569.7734464295713,98.5725071519004,2471.200939277671,2.9416177355751554,0.0013423392050876907
2.2199999999999966,0.01,18.770111710780196,99.29445593611175,2833.8555520863943,1,162.53817048667037,48.231381870116834,485.7409350341773,2569.7734464295713,99.44341452193002,2470.330031907641,2.942960074780243,0.001349280375094937
2.2299999999999964,0.01,18.852456045177117,99.21890408510839,2846.2876543993257,1,162.53817048667037,48.44297256804845,488.2433747352706,2569.7734464295713,100.31784335556107,2469.4556030740105,2.944309355155338,0.0013562315964868628
2.239999999999996,0.01,18.93477123194625,99.14323574134744,2858.7153560902416,1,162.53817048667037,48.6544883686972,490.7494495704256,2569.7734464295713,101.19578834976014,2468.577658079811,2.945665586751825,0.0013631929154734044
2.249999999999996,0.01,19.017057153882245,99.0674503697277,2871.138639463826,1,162.53817048667037,48.865928970894046,493.2591763341286,2569.7734464295713,102.07724418300852,2467.6962022465627,2.9470287796672983,0.0013701643787059127
2.259999999999996,0.01,19.099313693957132,98.9915474302135,2883.557486851546,1,162.53817048667037,49.07729407392579,495.772571981704,2569.7734464295713,102.9622055153691,2466.8112409142022,2.948398944046004,0.0013771460332825112
2.2699999999999956,0.01,19.18154073532094,98.91552637777532,2895.9718806117407,1,162.53817048667037,49.2885833775366,498.28965363127185,2569.7734464295713,103.85066698855375,2465.9227794410176,2.9497760900792867,0.001384137926753533
2.2799999999999954,0.01,19.263738161302307,98.83938666232953,2908.3818031297155,1,162.53817048667037,49.49979658192958,500.8104385657357,2569.7734464295713,104.74262322599054,2465.030823203581,2.95116022800604,0.0013911401071270437
2.289999999999995,0.01,19.345905855409093,98.76312772867726,2920.787236817833,1,162.53817048667037,49.71093338776836,503.33494423480164,2569.7734464295713,105.63806883289155,2464.13537759668,2.952551368113167,0.001398152622874449
2.299999999999995,0.01,19.42804370132898,98.68674901644223,2933.188164115608,1,162.53817048667037,49.92199349617867,505.8631882570288,2569.7734464295713,106.5369983963203,2463.2364480332512,2.9539495207360416,0.0014051755229361911
2.3099999999999947,0.01,19.51015158293009,98.61024996000769,2945.5845674897932,1,162.53817048667037,50.132976608749864,508.39518842191114,2569.7734464295713,107.43940648526005,2462.3340399443114,2.955354696258978,0.0014122088567275308
2.3199999999999945,0.01,19.592229384261564,98.5336299884524,2957.9764294344754,1,162.53817048667037,50.34388242753647,510.93096269199145,2569.7734464295713,108.34528765068161,2461.4281587788896,2.9567669051157055,0.0014192526741444208
2.3299999999999943,0.01,19.674276989554194,98.45688852548557,2970.3637324711626,1,162.53817048667037,50.55471065505972,513.4705292050097,2569.7734464295713,109.25463642561175,2460.5188100039595,2.95818615778985,0.0014263070255694714
2.339999999999994,0.01,19.756294283220992,98.38002498938074,2982.746459148877,1,162.53817048667037,50.765460994309166,516.0139062760845,2569.7734464295713,110.16744732520158,2459.60599910437,2.9596124648154194,0.0014333719618780127
2.349999999999994,0.01,19.838281149857803,98.30303879290875,2995.124592044243,1,162.53817048667037,50.976133148744104,518.5611123999287,2569.7734464295713,111.08371484679522,2458.689731582776,2.9610458367772976,0.0014404475344442463
2.3599999999999937,0.01,19.920237474243894,98.22592934326953,3007.4981137615764,1,162.53817048667037,51.18672682229515,521.1121662531002,2569.7734464295713,112.00343346999861,2457.770012959573,2.962486284311742,0.0014475337951475006
2.3699999999999934,0.01,20.002163141342546,98.14869604202292,3019.867006932977,1,162.53817048667037,51.39724171936578,523.6670866962895,2569.7734464295713,112.92659765674838,2456.846848772823,2.9639338181068893,0.0014546307963785822
2.3799999999999932,0.01,20.08405803630164,98.07133828501827,3032.2312542184136,1,162.53817048667037,51.607677544833805,526.225892776642,2569.7734464295713,113.853201851381,2455.9202445781902,2.965388448903268,0.0014617385910462278
2.389999999999993,0.01,20.16592204445425,97.99385546232304,3044.590838305816,1,162.53817048667037,51.81803400405291,528.7886037301191,2569.7734464295713,114.78324048070208,2454.990205948869,2.966850187494314,0.0014688572325836642
2.399999999999993,0.01,20.24775505131921,97.91624695815023,3056.945741911158,1,162.53817048667037,52.02831080285412,531.3552389838964,2569.7734464295713,115.7167079540557,2454.0567384755154,2.9683190447268974,0.0014759867749552676
2.4099999999999926,0.01,20.329556942601727,97.83851215078455,3069.2959477785525,1,162.53817048667037,52.238507647547316,533.9258181587998,2569.7734464295713,116.65359866339428,2453.119847766177,2.9697950315018526,0.0014831272726633328
2.4199999999999924,0.01,20.411327604193932,97.76065041250757,3081.641438680333,1,162.53817048667037,52.44862424492273,536.5003610717837,2569.7734464295713,117.59390698334802,2452.1795394462233,2.971278158774516,0.0014902787807549547
2.429999999999992,0.01,20.493066922175473,97.68266110952149,3093.9821974171455,1,162.53817048667037,52.658660302252464,539.0788877384466,2569.7734464295713,118.53762727129505,2451.235819158276,2.972768437555271,0.0014974413548290183
2.439999999999992,0.01,20.57477478281408,97.60454360187185,3106.3182068180286,1,162.53817048667037,52.86861552729182,541.6614183755879,2569.7734464295713,119.48475386743142,2450.28869256214,2.9742658789101,0.0015046150510432997
2.4499999999999917,0.01,20.656451072566153,97.52629724336886,3118.649449740509,1,162.53817048667037,53.078489628281005,544.2479734038093,2569.7734464295713,120.43528109484127,2449.33816533473,2.9757704939611433,0.0015117999261216924
2.4599999999999915,0.01,20.73809567807731,97.44792138150747,3130.9759090706807,1,162.53817048667037,53.28828231394639,546.8385734501549,2569.7734464295713,121.38920325956745,2448.384243170004,2.977282293887265,0.0015189960373615415
2.4699999999999913,0.01,20.81970848618298,97.36941535738615,3143.297567723291,1,162.53817048667037,53.49799329350205,549.4332393507984,2569.7734464295713,122.34651465068173,2447.4269317788894,2.9788012899246263,0.0015262034426411068
2.479999999999991,0.01,20.901289383908942,97.29077850562432,3155.6144086418317,1,162.53817048667037,53.70762227665126,552.0319921537729,2569.7734464295713,123.30720954035571,2446.4662368892155,2.9803274933672674,0.0015334222004271469
2.489999999999991,0.01,20.982838258471915,97.21201015427852,3167.926414798617,1,162.53817048667037,53.917168973587856,554.6348531217451,2569.7734464295713,124.27128218393162,2445.5021642456395,2.9818609155676947,0.0015406523697826253
2.4999999999999907,0.01,21.064354997280102,97.13310962475697,3180.2335691948742,1,162.53817048667037,54.12663309499777,557.2418437348387,2569.7734464295713,125.23872681999335,2444.534719609578,2.9834015679374772,0.0015478940103745519
2.5099999999999905,0.01,21.145839487933756,97.05407623173295,3192.535854860823,1,162.53817048667037,54.33601435206035,559.8529856935011,2569.7734464295713,126.20953767043746,2443.563908759134,2.984949461947852,0.0015551471824819475
2.5199999999999902,0.01,21.227291618225728,96.9749092830566,3204.833254855763,1,162.53817048667037,54.54531245644991,562.4683009214224,2569.7734464295713,127.18370894054446,2442.589737489027,2.9865046091303338,0.001562411947003951
2.52999999999999,0.01,21.308711276142027,96.89560807966527,3217.125752268155,1,162.53817048667037,54.75452712033707,565.0878115684995,2569.7734464295713,128.16123481905043,2441.6122116105207,2.9880670210773377,0.0015696883654680543
2.53999999999999,0.01,21.390098349862377,96.81617191549239,3229.413330215707,1,162.53817048667037,54.96365805639021,567.7115400138538,2569.7734464295713,129.14210947821843,2440.6313369513528,2.989636709442806,0.0015769765000384827
2.5499999999999896,0.01,21.471452727760756,96.73660007737477,3241.6959718454555,1,162.53817048667037,55.17270497777688,570.3395088688975,2569.7734464295713,130.12632707391015,2439.6471193556613,2.9912136859428444,0.0015842764135247153
2.5599999999999894,0.01,21.552774298405943,96.65689184495835,3253.9736603338456,1,162.53817048667037,55.38166759816518,572.9717409804534,2569.7734464295713,131.11388174565792,2438.6595646839132,2.992797962356369,0.0015915881693901485
2.569999999999989,0.01,21.634062950562072,96.57704649060241,3266.2463788868195,1,162.53817048667037,55.590545631725185,575.6082594339279,2569.7734464295713,132.10476761673652,2437.668678812835,2.994389550525759,0.0015989118317609107
2.579999999999989,0.01,21.715318573189165,96.49706327928199,3278.5141107398895,1,162.53817048667037,55.79933879313034,578.2490875565381,2569.7734464295713,133.09897879423545,2436.674467635336,2.99598846235752,0.0016062474654348281
2.5899999999999888,0.01,21.796541055443676,96.4169414684888,3290.776839158228,1,162.53817048667037,56.00804679755877,580.8942489205949,2569.7734464295713,134.09650936913116,2435.67693706044,2.997594709822955,0.0016135951358905414
2.5999999999999885,0.01,21.877730286679025,96.33668030813038,3303.0345474367455,1,162.53817048667037,56.21666936069486,583.5437673468433,2569.7734464295713,135.0973534163592,2434.6760930132123,2.9992083049588456,0.001620954909296787
2.6099999999999883,0.01,21.95888615644613,96.25627904042746,3315.2872189001673,1,162.53817048667037,56.42520619873033,586.197666907858,2569.7734464295713,136.1015049948872,2433.671941434684,3.0008292598681425,0.0016283268525218277
2.619999999999988,0.01,22.04000855449395,96.17573689980964,3327.534836903119,1,162.53817048667037,56.63365702836587,588.8559719315024,2569.7734464295713,137.10895814778695,2432.6644882817845,3.002457586720664,0.0016357110331430623
2.629999999999988,0.01,22.121097370770013,96.09505311280917,3339.7773848302077,1,162.53817048667037,56.8420215668124,591.5187070044456,2569.7734464295713,138.11970690230777,2431.6537395272635,3.004093297753807,0.0016431075194567933
2.6399999999999877,0.01,22.202152495420922,96.01422689795294,3352.014846096094,1,162.53817048667037,57.05029953179236,594.1858969757398,2569.7734464295713,139.1337452699489,2430.6397011596223,3.005736405273264,0.001650516380488166
2.6499999999999875,0.01,22.28317381879291,95.93325746565259,3364.247204145579,1,162.53817048667037,57.25849064154118,596.857566960464,2569.7734464295713,140.15106724653288,2429.6223791830384,3.0073869216537523,0.0016579376860012891
2.6599999999999873,0.01,22.364161231432345,95.8521440180926,3376.47444245368,1,162.53817048667037,57.46659461480853,599.5337423434305,2569.7734464295713,141.1716668122785,2428.601779617293,3.0090448593397534,0.0016653715065095293
2.669999999999987,0.01,22.445114624086255,95.77088574911653,3388.696544525707,1,161.9404889555388,57.462531449469914,599.9999999999999,2560.323936055949,142.1955379318742,2418.128398124075,3.010710230846263,0.0016666666666666663
2.679999999999987,0.01,22.525718904023723,95.7555719260796,3400.8659385997726,1,161.33521198496348,57.45334315564776,600.0,2550.754339683217,143.21866918993362,2407.5356704932833,3.0123768975129295,0.0016666666666666668
2.6899999999999866,0.01,22.605970093040167,95.75417208147975,3412.982024058399,1,160.76012184044563,57.45250324888785,600.0,2541.66200538254,144.24096216335482,2397.4210432191853,3.014043564179596,0.0016666666666666668
2.6999999999999864,0.01,22.68588412781414,95.7527722368799,3425.047206973842,1,160.1914810984712,57.451663342127944,600.0,2532.671637920493,145.26257295611268,2387.4090649643804,3.0157102308462624,0.0016666666666666668
2.709999999999986,0.01,22.76546442997962,95.75137239228005,3437.0620039342048,1,159.62917258395422,57.45082343536804,600.0000000000001,2523.781384726549,146.28349991137512,2377.4978848151736,3.017376897512929,0.001666666666666667
