Lap,Time
1,83.200
2,77.612
3,74.349
4,78.694
5,75.530
6,73.713
7,72.592
8,70.567
9,71.793
10,85.054
11,70.468
12,75.325
13,71.664
14,73.130
15,73.819
16,74.079
17,75.591
18,74.948
19,75.743
20,78.666
21,75.970
22,69.960
