ay_g,roll_deg,front_static_mm,rear_static_mm,front_outside_mm,front_inside_mm,rear_outside_mm,rear_inside_mm,front_delta_mm,rear_delta_mm
0.0,0.0,18.3071979674834,21.223830691770598,18.3071979674834,18.3071979674834,21.223830691770598,21.223830691770598,0.0,0.0
0.03125,0.016055553040583263,18.3071979674834,21.223830691770598,18.491737977183927,18.12265795778287,21.408738311052204,21.03892307248899,0.18454000970052842,0.18490761928160515
0.0625,0.032111106081166525,18.3071979674834,21.223830691770598,18.676277986884458,17.938117948082343,21.593645930333807,20.85401545320739,0.36908001940105684,0.3698152385632103
0.09375,0.04816665912174979,18.3071979674834,21.223830691770598,18.860817996584988,17.753577938381813,21.778553549615413,20.669107833925782,0.5536200291015853,0.5547228578448156
0.125,0.06422221216233305,18.3071979674834,21.223830691770598,19.04535800628551,17.569037928681286,21.96346116889702,20.48420021464418,0.7381600388021137,0.7396304771264206
0.15625,0.08027776520291631,18.3071979674834,21.223830691770598,19.22989801598604,17.38449791898076,22.148368788178626,20.299292595362573,0.9227000485026421,0.9245380964080258
0.1875,0.09633331824349958,18.3071979674834,21.223830691770598,19.41443802568657,17.19995790928023,22.33327640746023,20.11438497608097,1.1072400582031705,1.1094457156896311
0.21875,0.11238887128408284,18.3071979674834,21.223830691770598,19.5989780353871,17.0154178995797,22.518184026741835,19.92947735679936,1.2917800679036988,1.2943533349712362
0.25,0.1284444243246661,18.3071979674834,21.223830691770598,19.78351804508763,16.830877889879172,22.703091646023438,19.744569737517757,1.4763200776042273,1.4792609542528412
0.28125,0.14449997736524936,18.3071979674834,21.223830691770598,19.968058054788155,16.646337880178642,22.887999265305044,19.55966211823615,1.6608600873047559,1.6641685735344467
0.3125,0.16055553040583262,18.3071979674834,21.223830691770598,20.152598064488682,16.461797870478115,23.07290688458665,19.374754498954545,1.8454000970052842,1.8490761928160515
0.34375,0.17661108344641588,18.3071979674834,21.223830691770598,20.337138074189212,16.27725786077759,23.257814503868254,19.189846879672942,2.0299401067058125,2.0339838120976568
0.375,0.19266663648699917,18.3071979674834,21.223830691770598,20.52167808388974,16.092717851077058,23.44272212314986,19.004939260391335,2.214480116406341,2.2188914313792623
0.40625,0.20872218952758242,18.3071979674834,21.223830691770598,20.70621809359027,15.90817784137653,23.627629742431463,18.820031641109733,2.3990201261068695,2.4037990506608673
0.4375,0.22477774256816568,18.3071979674834,21.223830691770598,20.8907581032908,15.723637831676001,23.81253736171307,18.635124021828126,2.5835601358073976,2.5887066699424723
0.46875,0.24083329560874894,18.3071979674834,21.223830691770598,21.075298112991327,15.539097821975473,23.99744498099468,18.45021640254652,2.7681001455079266,2.7736142892240783
0.5,0.2568888486493322,18.3071979674834,21.223830691770598,21.259838122691853,15.354557812274944,24.182352600276282,18.265308783264917,2.9526401552084547,2.9585219085056824
0.53125,0.27294440168991546,18.3071979674834,21.223830691770598,21.44437813239238,15.170017802574415,24.36726021955789,18.08040116398331,3.1371801649089837,3.1434295277872883
0.5625,0.2889999547304987,18.3071979674834,21.223830691770598,21.62891814209291,14.985477792873889,24.55216783883949,17.895493544701704,3.3217201746095117,3.3283371470688934
0.59375,0.305055507771082,18.3071979674834,21.223830691770598,21.81345815179344,14.80093778317336,24.737075458121097,17.710585925420098,3.5062601843100403,3.5132447663504984
0.625,0.32111106081166524,18.3071979674834,21.223830691770598,21.997998161493967,14.61639777347283,24.9219830774027,17.525678306138495,3.6908001940105684,3.698152385632103
0.65625,0.3371666138522485,18.3071979674834,21.223830691770598,22.182538171194498,14.431857763772301,25.106890696684307,17.34077068685689,3.8753402037110973,3.883060004913709
0.6875,0.35322216689283176,18.3071979674834,21.223830691770598,22.367078180895028,14.247317754071775,25.29179831596591,17.155863067575286,4.059880213411625,4.0679676241953135
0.71875,0.369277719933415,18.3071979674834,21.223830691770598,22.55161819059555,14.062777744371248,25.476705935247516,16.97095544829368,4.2444202231121535,4.252875243476919
0.75,0.38533327297399833,18.3071979674834,21.223830691770598,22.73615820029608,13.878237734670718,25.661613554529122,16.786047829012073,4.428960232812682,4.4377828627585245
0.78125,0.4013888260145816,18.3071979674834,21.223830691770598,22.920698209996612,13.693697724970189,25.84652117381073,16.60114020973047,4.6135002425132114,4.62269048204013
0.8125,0.41744437905516485,18.3071979674834,21.223830691770598,23.10523821969714,13.50915771526966,26.031428793092335,16.416232590448864,4.798040252213739,4.807598101321735
0.84375,0.4334999320957481,18.3071979674834,21.223830691770598,23.28977822939767,13.324617705569132,26.21633641237394,16.231324971167258,4.9825802619142685,4.99250572060334
0.875,0.44955548513633137,18.3071979674834,21.223830691770598,23.474318239098192,13.140077695868603,26.401244031655544,16.04641735188565,5.167120271614795,5.177413339884945
0.90625,0.4656110381769146,18.3071979674834,21.223830691770598,23.658858248798722,12.955537686168077,26.586151650937147,15.86150973260405,5.351660281315324,5.362320959166549
0.9375,0.4816665912174979,18.3071979674834,21.223830691770598,23.843398258499253,12.770997676467546,26.771059270218753,15.676602113322444,5.536200291015853,5.5472285784481565
0.96875,0.49772214425808115,18.3071979674834,21.223830691770598,24.02793826819978,12.58645766676702,26.95596688950036,15.491694494040836,5.720740300716382,5.732136197729761
1.0,0.5137776972986644,18.3071979674834,21.223830691770598,24.21247827790031,12.40191765706649,27.140874508781963,15.306786874759233,5.905280310416909,5.917043817011365
1.03125,0.5298332503392477,18.3071979674834,21.223830691770598,24.39701828760084,12.21737764736596,27.32578212806357,15.121879255477626,6.089820320117438,6.101951436292971
1.0625,0.5458888033798309,18.3071979674834,21.223830691770598,24.581558297301367,12.032837637665432,27.510689747345175,14.936971636196022,6.274360329817967,6.286859055574577
1.09375,0.5619443564204142,18.3071979674834,21.223830691770598,24.766098307001894,11.848297627964907,27.69559736662678,14.752064016914419,6.458900339518494,6.4717666748561795
1.125,0.5779999094609974,18.3071979674834,21.223830691770598,24.95063831670242,11.663757618264377,27.880504985908384,14.567156397632811,6.6434403492190235,6.656674294137787
1.15625,0.5940554625015807,18.3071979674834,21.223830691770598,25.13517832640295,11.479217608563848,28.06541260518999,14.382248778351206,6.827980358919552,6.841581913419391
1.1875,0.610111015542164,18.3071979674834,21.223830691770598,25.31971833610348,11.29467759886332,28.250320224471597,14.197341159069602,7.0125203686200805,7.026489532700997
1.21875,0.6261665685827472,18.3071979674834,21.223830691770598,25.504258345804008,11.110137589162791,28.4352278437532,14.012433539787997,7.197060378320608,7.2113971519826015
1.25,0.6422221216233305,18.3071979674834,21.223830691770598,25.688798355504534,10.925597579462263,28.620135463034803,13.827525920506393,7.381600388021137,7.396304771264206
1.28125,0.6582776746639137,18.3071979674834,21.223830691770598,25.873338365205065,10.741057569761734,28.80504308231641,13.642618301224786,7.566140397721665,7.581212390545812
1.3125,0.674333227704497,18.3071979674834,21.223830691770598,26.05787837490559,10.556517560061206,28.989950701598016,13.45771068194318,7.750680407422195,7.766120009827418
1.34375,0.6903887807450803,18.3071979674834,21.223830691770598,26.242418384606122,10.371977550360679,29.17485832087962,13.272803062661577,7.935220417122721,7.951027629109022
1.375,0.7064443337856635,18.3071979674834,21.223830691770598,26.42695839430665,10.187437540660149,29.359765940161225,13.08789544337997,8.11976042682325,8.135935248390627
1.40625,0.7224998868262468,18.3071979674834,21.223830691770598,26.61149840400718,10.00289753095962,29.54467355944283,12.902987824098366,8.30430043652378,8.320842867672233
1.4375,0.73855543986683,18.3071979674834,21.223830691770598,26.79603841370771,9.818357521259093,29.729581178724438,12.71808020481676,8.488840446224307,8.505750486953838
1.46875,0.7546109929074133,18.3071979674834,21.223830691770598,26.980578423408236,9.633817511558563,29.91448879800604,12.533172585535155,8.673380455924836,8.690658106235443
1.5,0.7706665459479967,18.3071979674834,21.223830691770598,27.165118433108766,9.449277501858035,30.09939641728765,12.348264966253549,8.857920465625364,8.875565725517049
1.53125,0.7867220989885799,18.3071979674834,21.223830691770598,27.349658442809297,9.264737492157506,30.284304036569253,12.163357346971944,9.042460475325894,9.060473344798654
1.5625,0.8027776520291632,18.3071979674834,21.223830691770598,27.534198452509823,9.080197482456978,30.469211655850856,11.97844972769034,9.227000485026423,9.24538096408026
1.59375,0.8188332050697464,18.3071979674834,21.223830691770598,27.71873846221035,8.895657472756449,30.654119275132462,11.793542108408735,9.41154049472695,9.430288583361865
1.625,0.8348887581103297,18.3071979674834,21.223830691770598,27.903278471910877,8.71111746305592,30.83902689441407,11.608634489127128,9.596080504427478,9.61519620264347
1.65625,0.850944311150913,18.3071979674834,21.223830691770598,28.087818481611407,8.526577453355392,31.02393451369567,11.423726869845522,9.780620514128008,9.800103821925076
1.6875,0.8669998641914962,18.3071979674834,21.223830691770598,28.272358491311937,8.342037443654863,31.208842132977278,11.238819250563918,9.965160523828537,9.98501144120668
1.71875,0.8830554172320795,18.3071979674834,21.223830691770598,28.45689850101246,8.157497433954335,31.393749752258884,11.053911631282313,10.149700533529064,10.169919060488287
1.75,0.8991109702726627,18.3071979674834,21.223830691770598,28.64143851071299,7.972957424253808,31.57865737154049,10.86900401200071,10.33424054322959,10.35482667976989
1.78125,0.915166523313246,18.3071979674834,21.223830691770598,28.82597852041352,7.788417414553278,31.763564990822093,10.684096392719102,10.518780552930123,10.539734299051496
1.8125,0.9312220763538293,18.3071979674834,21.223830691770598,29.010518530114048,7.603877404852752,31.948472610103696,10.4991887734375,10.703320562630648,10.724641918333099
1.84375,0.9472776293944125,18.3071979674834,21.223830691770598,29.19505853981458,7.4193373951522235,32.1333802293853,10.314281154155893,10.887860572331176,10.909549537614705
1.875,0.9633331824349958,18.3071979674834,21.223830691770598,29.37959854951511,7.234797385451692,32.318287848666905,10.129373534874286,11.072400582031706,11.094457156896313
1.90625,0.979388735475579,18.3071979674834,21.223830691770598,29.564138559215635,7.0502573757511655,32.503195467948515,9.944465915592684,11.256940591732235,11.279364776177916
1.9375,0.9954442885161623,18.3071979674834,21.223830691770598,29.748678568916166,6.865717366050636,32.688103087230125,9.759558296311075,11.441480601432763,11.464272395459522
1.96875,1.0114998415567455,18.3071979674834,21.223830691770598,29.93321857861669,6.681177356350109,32.87301070651173,9.574650677029473,11.62602061113329,11.649180014741125
2.0,1.0275553945973288,18.3071979674834,21.223830691770598,30.11775858831722,6.49663734664958,33.05791832579333,9.389743057747868,11.810560620833819,11.83408763402273
2.03125,1.043610947637912,18.3071979674834,21.223830691770598,30.30229859801775,6.312097336949051,33.24282594507494,9.20483543846626,11.995100630534349,12.018995253304338
2.0625,1.0596665006784953,18.3071979674834,21.223830691770598,30.486838607718273,6.127557327248524,33.427733564356544,9.019927819184657,12.179640640234876,12.203902872585942
2.09375,1.0757220537190786,18.3071979674834,21.223830691770598,30.671378617418803,5.943017317547995,33.61264118363815,8.83502019990305,12.364180649935404,12.388810491867547
2.125,1.0917776067596618,18.3071979674834,21.223830691770598,30.855918627119337,5.758477307847464,33.797548802919756,8.650112580621444,12.548720659635935,12.573718111149153
2.15625,1.107833159800245,18.3071979674834,21.223830691770598,31.04045863681986,5.573937298146939,33.98245642220135,8.465204961339841,12.733260669336461,12.758625730430756
2.1875,1.1238887128408284,18.3071979674834,21.223830691770598,31.22499864652039,5.389397288446411,34.16736404148296,8.280297342058239,12.917800679036988,12.943533349712359
2.21875,1.1399442658814116,18.3071979674834,21.223830691770598,31.409538656220917,5.204857278745881,34.352271660764565,8.09538972277663,13.102340688737518,13.128440968993969
2.25,1.1559998189219949,18.3071979674834,21.223830691770598,31.594078665921447,5.0203172690453535,34.53717928004617,7.910482103495025,13.286880698438047,13.313348588275574
2.28125,1.1720553719625781,18.3071979674834,21.223830691770598,31.778618675621978,4.835777259344823,34.72208689932778,7.725574484213419,13.471420708138577,13.49825620755718
2.3125,1.1881109250031614,18.3071979674834,21.223830691770598,31.963158685322504,4.6512372496442955,34.90699451860938,7.540666864931815,13.655960717839104,13.683163826838783
2.34375,1.2041664780437447,18.3071979674834,21.223830691770598,32.147698695023024,4.466697239943769,35.09190213789098,7.355759245650212,13.84050072753963,13.868071446120386
2.375,1.220222031084328,18.3071979674834,21.223830691770598,32.33223870472356,4.282157230243239,35.27680975717259,7.170851626368605,14.025040737240161,14.052979065401994
2.40625,1.2362775841249112,18.3071979674834,21.223830691770598,32.516778714424085,4.097617220542711,35.461717376454196,6.9859440070869985,14.20958074694069,14.2378866846836
2.4375,1.2523331371654944,18.3071979674834,21.223830691770598,32.70131872412461,3.913077210842183,35.6466249957358,6.801036387805396,14.394120756641216,14.422794303965203
2.46875,1.2683886902060777,18.3071979674834,21.223830691770598,32.885858733825145,3.728537201141654,35.83153261501741,6.616128768523788,14.578660766341745,14.60770192324681
2.5,1.284444243246661,18.3071979674834,21.223830691770598,33.07039874352567,3.543997191441127,36.016440234299004,6.431221149242186,14.763200776042273,14.792609542528412
