Fz,slipRatio,slipAngle_deg,Fx,Fy,ax_g,ay_g
200,-0.25,-12.000000000000002,-2.581319628411406,9.95696259073198,-0.0008518446781501329,0.0032858331452253553
200,-0.25,-11.8,-2.5944254959033994,10.034862386029653,-0.0008561696611366318,0.0033115403553371637
200,-0.25,-11.6,-2.6077775786915414,10.112777896068636,-0.0008605758960484619,0.0033372527513696178
200,-0.25,-11.4,-2.621381679364497,10.1907088518184,-0.0008650652977605653,0.0033629702445416836
200,-0.25,-11.2,-2.6352437266576056,10.268654984272175,-0.0008696398227767358,0.0033886927460801686
200,-0.25,-11.0,-2.6493697748830827,10.34661602445056,-0.0008743014690415845,0.003414420167220911
200,-0.25,-10.8,-2.66376600288281,10.424591703405156,-0.000879052275594956,0.0034401524192099815
200,-0.25,-10.600000000000001,-2.6784387124435494,10.502581752222186,-0.0008838943220489438,0.003465889413304875
200,-0.25,-10.4,-2.693394326108467,10.580585902026117,-0.0008888297278656849,0.0034916310607757063
200,-0.25,-10.2,-2.708639384312322,10.658603883983293,-0.0008938606514119624,0.003517377272906412
200,-0.25,-10.0,-2.724180541760653,10.736635429305547,-0.0008989892887643234,0.003543127960995938
200,-0.25,-9.8,-2.7400245629656426,10.81468026925384,-0.0009042178722359002,0.0035688830363594434
200,-0.25,-9.6,-2.7561783168431973,10.892738135141874,-0.0009095486685934247,0.003594642410329493
200,-0.25,-9.4,-2.772648770266861,10.97080875833972,-0.0009149839769299991,0.0036204059942572518
200,-0.25,-9.200000000000001,-2.7894429804647642,11.048891870277444,-0.0009205261261560609,0.003646173699513685
200,-0.25,-9.0,-2.806568086135632,11.126987202448726,-0.0009261774720676345,0.0036719454374907505
200,-0.25,-8.8,-2.824031297149033,11.205094486414495,-0.000931940393947376,0.0036977211196025967
200,-0.25,-8.6,-2.841839882683578,11.283213453806534,-0.0009378172906501372,0.0037235006572867557
200,-0.25,-8.4,-2.8600011576445366,11.361343836331102,-0.0009438105761207298,0.0037492839620053378
200,-0.25,-8.2,-2.8785224671895295,11.439485365772581,-0.0009499226742873499,0.0037750709452462317
200,-0.25,-8.0,-2.897411169177463,11.517637773997057,-0.0009561560132696623,0.0038008615185242908
200,-0.25,-7.8,-2.9166746143418236,11.595800792955965,-0.0009625130188359183,0.0038266555933825328
200,-0.25,-7.6,-2.9363201239749186,11.673974154689695,-0.0009689961070386754,0.003852453081393332
200,-0.25,-7.3999999999999995,-2.9563549648947154,11.752157591331207,-0.0009756076759537642,0.0038782538941596095
200,-0.25,-7.199999999999999,-2.9767863214507804,11.830350835109648,-0.0009823500964421493,0.00390405794331603
200,-0.25,-7.0,-2.9976212643105318,11.908553618353963,-0.0009892257018492812,0.003929865140530191
200,-0.25,-6.8,-3.0188667157519906,11.986765673496501,-0.0009962367765515806,0.003955675397503814
200,-0.25,-6.6,-3.0405294111745502,12.064986733076628,-0.0010033855432548544,0.003981488625973937
200,-0.25,-6.3999999999999995,-3.062615856525426,12.143216529744329,-0.0010106741489448734,0.004007304737714101
200,-0.25,-6.199999999999999,-3.0851322813268043,12.22145479626381,-0.0010181046493861635,0.0040331236445355426
200,-0.25,-6.000000000000001,-3.108084586977768,12.299701265517108,-0.0010256789920614568,0.004058945258288381
200,-0.25,-5.8,-3.1314782899963935,12.377955670507681,-0.0010333989974413813,0.004084769490862806
200,-0.25,-5.6,-3.155318459861774,12.456217744364007,-0.0010412663384721072,0.0041105962541902645
200,-0.25,-5.3999999999999995,-3.1796096511138163,12.534487220343179,-0.0010492825181680383,0.004136425460244645
200,-0.25,-5.199999999999999,-3.2043558293715204,12.612763831834492,-0.001057448845197579,0.004162257021043467
200,-0.25,-5.0,-3.2295602909390504,12.691047312363036,-0.0010657664073528525,0.004188090848649058
200,-0.25,-4.8,-3.255225575684541,12.769337395593277,-0.001074236042799397,0.004213926855169745
200,-0.25,-4.6000000000000005,-3.281353372900477,12.847633815332637,-0.001082858309009753,0.0042397649527610255
200,-0.25,-4.3999999999999995,-3.3079444198882277,12.92593630553508,-0.001091633449296001,0.0042656050536267615
200,-0.25,-4.199999999999999,-3.3349983930544704,13.004244600304675,-0.001100561356871191,0.004291447070020347
200,-0.25,-4.0,-3.3625137913655365,13.082558433899178,-0.0011096415363888617,0.004317290914245894
200,-0.25,-3.799999999999999,-3.3904878120790523,13.160877540733596,-0.0011188730629340402,0.004343136498659409
200,-0.25,-3.5999999999999996,-3.4189162187624764,13.239201655383743,-0.0011282545384688873,0.004368983735669965
200,-0.25,-3.4000000000000004,-3.4477932017172552,13.317530512589816,-0.0011377840457721727,0.00439483253774088
200,-0.25,-3.1999999999999993,-3.4771112310571137,13.395863847259937,-0.0011474590999545863,0.004420682817390891
200,-0.25,-3.0000000000000004,-3.5068609028414173,13.474201394473711,-0.0011572765976821994,0.004446534487195322
200,-0.25,-2.7999999999999994,-3.5370307788409323,13.552542889485775,-0.001167232764298595,0.004472387459787259
200,-0.25,-2.5999999999999996,-3.5676072207149865,13.630888067729328,-0.0011773230991027391,0.004498241647858717
200,-0.25,-2.3999999999999986,-3.5985742196067254,13.709236664819697,-0.0011875423191148083,0.00452409696416181
200,-0.25,-2.1999999999999997,-3.6299132224167683,13.787588416557837,-0.0011978843017458767,0.004549953321509912
200,-0.25,-2.0,-3.6616029562944234,13.865943058933887,-0.0012083420268793922,0.004575810632778828
200,-0.25,-1.799999999999999,-3.6936192531876855,13.944300328130689,-0.0012189075189720487,0.004601668810907954
200,-0.25,-1.5999999999999996,-3.725934876615482,14.022659960527289,-0.0012295717898880118,0.0046275277689014375
200,-0.25,-1.3999999999999986,-3.7585193531631678,14.101021692702483,-0.0012403247832918297,0.004653387419829342
200,-0.25,-1.1999999999999993,-3.79133881154885,14.179385261438297,-0.0012511553215397485,0.004679247676828796
200,-0.25,-1.0,-3.8243558324553257,14.257750403723508,-0.0012620510561237148,0.00470510845310516
200,-0.25,-0.7999999999999989,-3.857529312659918,14.336116856757139,-0.001272998422833738,0.004730969661933175
200,-0.25,-0.5999999999999996,-3.89081434730991,14.414484357951947,-0.0012839826029083644,0.004756831216658114
200,-0.25,-0.3999999999999986,-3.9241621344701696,14.492852644937921,-0.001294987491535052,0.004782693030696939
200,-0.25,-0.1999999999999993,-3.957519906295656,14.57122145556575,-0.0013059956751368537,0.004808555017539442
200,-0.25,0.0,-3.990830891337237,14.649590527910313,-0.0013169884189332011,0.004834417090749401
200,-0.25,0.20000000000000107,-4.024034312555906,14.727959600274133,-0.0013279456662845907,0.004860279163965715
200,-0.25,0.40000000000000036,-4.057065425579459,14.80632841119086,-0.001338846051317422,0.004886141150903555
200,-0.25,0.6000000000000014,-4.089855601569025,14.884696699428709,-0.0013496669262702489,0.004912002965355503
200,-0.25,0.8000000000000007,-4.122332458754574,14.963064203993921,-0.001360384404900967,0.004937864521192688
200,-0.25,1.0,-4.154420046235928,15.041430664134214,-0.0013709734231417998,0.004963725732365926
200,-0.25,1.200000000000001,-4.186039083020769,15.119795819342208,-0.001381407817982696,0.004989586512906855
200,-0.25,1.4000000000000004,-4.217107254481463,15.198159409358865,-0.0013916604253031365,0.005015446776929063
200,-0.25,1.6000000000000014,-4.247539567463241,15.276521174176906,-0.001401703197059101,0.005041306438629223
200,-0.25,1.8000000000000005,-4.277248764180349,15.354880854044243,-0.0014115073378702717,0.0050671654122882185
200,-0.25,2.0,-4.306145793816249,15.433238189467373,-0.0014210434606497808,0.00509302361227227
200,-0.25,2.200000000000001,-4.33414033942882,15.5115929212148,-0.0014302817604848056,0.005118880953034059
200,-0.25,2.4000000000000004,-4.361141396390694,15.589944790320407,-0.0014391922055239411,0.005144737349113843
200,-0.25,2.6000000000000014,-4.387057897212993,15.668293538086875,-0.0014477447431712588,0.0051705927151405855
200,-0.25,2.8000000000000007,-4.411799376257817,15.746638906089041,-0.0014559095194437994,0.005196446965833062
200,-0.25,3.0000000000000004,-4.4352766665924745,15.824980636177283,-0.0014636571089359505,0.005222300016000977
200,-0.25,3.200000000000001,-4.457402620126854,15.903318470480889,-0.0014709587524673474,0.005248151780546075
200,-0.25,3.4000000000000004,-4.4780928412509216,15.981652151411405,-0.001477786599185862,0.00527400217446325
200,-0.25,3.600000000000001,-4.497266423490056,16.059981421666,-0.0014841139496664891,0.00529985111284165
200,-0.25,3.8000000000000007,-4.514846678250135,16.13830602423079,-0.0014899154963998213,0.005325698510865777
200,-0.25,4.0,-4.530761844547539,16.216625702384206,-0.0014951675580054818,0.0053515442838165984
200,-0.25,4.199999999999999,-4.544945768714343,16.29494019970028,-0.0014998483035372598,0.0053773883470726305
200,-0.25,4.400000000000002,-4.557338543425712,16.373249260052003,-0.0015039379633644274,0.005403230616111046
200,-0.25,4.600000000000001,-4.567887095993587,16.451552627614596,-0.0015074190233107547,0.0054290710065087585
200,-0.25,4.800000000000001,-4.576545716678111,16.529850046868848,-0.0015102763989991623,0.0054549094339435165
200,-0.25,5.0,-4.583276518750365,16.60814126260439,-0.001512497587674065,0.005480745814194989
200,-0.25,5.199999999999999,-4.588049823159733,16.686426019922987,-0.0015140727951429725,0.005506580063145848
200,-0.25,5.400000000000002,-4.590844461880768,16.764704064241794,-0.0015149950358820362,0.00553241209678285
