time,throttle,brakePressureFront,brakePressureRear,brakePedalTravel,steerAngle
0.0,0.0,1.5151515,1.5151515,0.11246486,-0.3629936
0.009947061538696289,0.0,1.5151515,1.5151515,0.11246486,-0.3629936
0.01967000961303711,0.0,1.5151515,1.5151515,0.11246486,-0.3629936
0.029999971389770508,0.0,1.5151515,1.5151515,0.11246486,-0.3629936
0.040003061294555664,0.0,1.5151515,1.5151515,0.11246486,-0.3629936
0.04955697059631348,0.0,1.5151515,1.5151515,0.10309278,-0.3629936
0.05999112129211426,0.0,1.5151515,1.5151515,0.11246486,-0.36484364
0.06986308097839355,0.0,1.5151515,1.5151515,0.11246486,-0.36484364
0.0795290470123291,0.0,1.5151515,1.5151515,0.11246486,-0.36484364
0.08960199356079102,0.0,1.5151515,1.5151515,0.10309278,-0.36484364
0.09991312026977539,0.0,1.5151515,1.5151515,0.10309278,-0.36484364
0.10997796058654785,0.0,1.5151515,1.5151515,0.10309278,-0.3629936
0.1196739673614502,0.0,1.5151515,1.5151515,0.10309278,-0.3629936
0.13000702857971191,0.0,1.5151515,1.5151515,0.11246486,-0.3629936
0.13951492309570312,0.0,1.5151515,1.5151515,0.11246486,-0.3629936
0.14998602867126465,0.0,1.5151515,1.5151515,0.11246486,-0.3629936
0.15964913368225098,0.0,1.5151515,1.5151515,0.11246486,-0.3629936
0.16997313499450684,0.0,1.5151515,1.5151515,0.12183693,-0.3629936
0.1799929141998291,0.0,1.5151515,1.5151515,0.11246486,-0.3629936
0.18990302085876465,0.0,1.5151515,1.5151515,0.11246486,-0.3629936
0.1995859146118164,0.0,1.5151515,1.5151515,0.11246486,-0.3629936
0.20998597145080566,0.0,2.2727273,2.2727273,0.12183693,-0.36484364
0.21954107284545898,0.0,2.2727273,2.2727273,0.12183693,-0.36484364
0.22956204414367676,0.0,2.2727273,2.2727273,0.12183693,-0.36484364
0.23998808860778809,0.0,2.2727273,2.2727273,0.11246486,-0.36484364
0.24955201148986816,0.0,2.2727273,2.2727273,0.11246486,-0.36484364
0.25974297523498535,0.0,2.2727273,2.2727273,0.11246486,-0.3611436
0.2699921131134033,0.0,2.2727273,2.2727273,0.11246486,-0.3611436
0.27991294860839844,0.0,2.2727273,2.2727273,0.11246486,-0.3611436
0.28999996185302734,0.0,2.2727273,2.2727273,0.11246486,-0.3611436
