Complexity,Loss,Equation
1,0.14158258,"h = 3.5650237"
9,0.13296594,"h = exp(exp((#1 + -1.0300726) + #1)) - -2.4034257"
10,0.0766783,"h = ((#2 - -1.5896251) / log(#2 + -0.6743062)) + -1.0767896"
11,0.020174777,"h = (#2 + (((#2 + -1.4372089) + #2) * -0.70788854)) - -4.3845043"
17,0.014038164,"h = (#2 + (((#2 * ((#2 * -1.1257197) + #2)) + (#2 * -1.3065858)) + #2)) + 3.0436683"
