Current,Charge,Voltage
2.5,0.02764530913220903,4.072470519502484
2.5,0.06889847307456026,4.041350593709803
2.5,0.11015163701691161,4.0204936221678995
2.5,0.15140480095926295,4.007913226634688
2.5,0.1926579649016143,3.9986434615049538
2.5,0.23391112884396564,3.991360074617305
2.5,0.275164292786317,3.9850698768506994
2.5,0.31641745672866833,3.9754690486806172
2.5,0.35767062067101957,3.965537157470187
2.5,0.3989237846133709,3.9572605814614956
2.5,0.44017694855572226,3.9483218793721084
2.5,0.4814301124980736,3.931768727354725
2.5,0.522683276440425,3.913891323175951
2.5,0.5639364403827762,3.8930343516340478
2.5,0.6051896043251277,3.8741637583342308
2.5,0.6464427682674789,3.854962101994066
2.5,0.6876959322098304,3.8357604456539014
2.5,0.7289490961521816,3.8218557979592993
2.5,0.7702022600945329,3.8059647720226115
2.5,0.8114554240368843,3.795039691691138
2.5,0.8527085879792355,3.7831214222386222
2.5,0.893961751921587,3.770541026705411
2.5,0.9352149158639382,3.7589538202932427
2.5,0.9764680798062897,3.7480287399617698
2.5,1.017721243748641,3.7334619661864723
2.5,1.0589744076909922,3.719888381532218
2.5,1.1002275716333436,3.7039973555955297
2.5,1.1414807355756948,3.688106329658842
2.5,1.1827338995180463,3.672877429802849
2.5,1.2239870634603975,3.657317466906509
2.5,1.265240227402749,3.6397711257680823
2.5,1.3064933913451002,3.6215626585489606
2.5,1.3477465552874517,3.604347380450882
2.5,1.388999719229803,3.5868010393124554
2.5,1.4302528831721542,3.5702478872950723
2.5,1.4715060471145056,3.554356861358384
2.5,1.5127592110568568,3.538465835421696
2.5,1.554012374999208,3.5222437464446603
2.5,1.5952655389415595,3.506352720507972
2.5,1.636518702883911,3.4901306315309366
2.5,1.677771866826262,3.476557046876682
2.5,1.7190250307686135,3.4606660209399944
2.5,1.760278194710965,3.4464303102050446
2.5,1.8015313586533164,3.4302082212280087
2.5,1.8427845225956674,3.41299294312993
2.5,1.8840376865380188,3.394122349830113
2.5,1.9252908504803703,3.372272189167167
2.5,1.9665440144227213,3.3461182089797012
2.5,2.0077971783650725,3.3163225353484114
2.5,2.049050342307424,3.284871546515383
2.5,2.0903035062497755,3.250772053359573
2.5,2.1315566701921265,3.2103823624371577
2.5,2.172809834134478,3.163371410707789
2.5,2.2140629980768294,3.1156983328977246
2.5,2.2553161620191804,3.064714624684184
2.5,2.296569325961532,3.010089223026819
2.5,2.3378224899038833,2.943545551916938
2.5,2.3753253662151117,2.866922850467583
2.5,2.403452523448533,2.786400962098578
2.5,2.424079105419709,2.711139297592875
2.5,2.4409553997597615,2.6282907717458714
2.5,2.455956550284253,2.549083939342692
5.0,0.0,4.077777777777778
5.0,0.02764530913220903,4.017050566548284
5.0,0.06889847307456026,3.973482670438531
5.0,0.11015163701691161,3.9529567619369756
5.0,0.14952965714370153,3.9525925925925933
5.0,0.1926579649016143,3.924816403507424
5.0,0.23391112884396564,3.9291202230319437
5.0,0.275164292786317,3.9205125839829043
5.0,0.31641745672866833,3.9016419906830873
5.0,0.35767062067101957,3.912898134054908
5.0,0.3989237846133709,3.9013109276427396
5.0,0.44017694855572226,3.8764811996166646
5.0,0.4829302275505228,3.873567844861605
5.0,0.5234333339666495,3.8513535148542766
5.0,0.5676867280138991,3.832449815250425
5.0,0.6089398919562505,3.8155656001926936
5.0,0.6501930558986018,3.7957018177718336
5.0,0.6870708842713098,3.7787624255407115
5.0,0.7326993837833045,3.7612712615756765
5.0,0.7754526627781049,3.7537561305597844
5.0,0.8152057116680071,3.7294892097023
5.0,0.8564588756103584,3.7241922010567374
5.0,0.8977120395527098,3.7102875533621353
5.0,0.9389652034950611,3.7053216077569204
5.0,0.9768847784319699,3.6802343862550195
5.0,1.0207214738535393,3.675459721517561
5.0,1.0627246953221152,3.6526825843416413
5.0,1.1039778592644665,3.643412819211907
5.0,1.14560605196993,3.6255685213371676
5.0,1.1864841871491691,3.6053405695719247
5.0,1.225862207275959,3.5906082642764536
5.0,1.2727408026649947,3.574220643779244
5.0,1.314410665233026,3.5552029113503836
5.0,1.3589974181808202,3.5315135115743947
5.0,1.4002505821231714,3.520588431242922
5.0,1.4415037460655227,3.503704216185191
5.0,1.4827569100078741,3.4861578750467643
5.0,1.5290104574583896,3.4690161665132075
5.0,1.5690135255236994,3.4586796426979083
5.0,1.6095166319398262,3.449674728000452
5.0,1.6515198534084023,3.4328567255507902
5.0,1.6923979885876415,3.4107086081515314
5.0,1.7344012100562172,3.4034252212638827
5.0,1.7752793452354563,3.3837600766672313
5.0,1.8165325091778077,3.36333348707778
5.0,1.8562855580677098,3.3477073115733704
5.0,1.8990388370625102,3.3318824982447515
5.0,1.9399169722417493,3.306556175658155
5.0,1.9815451649472131,3.2808987900312108
5.0,2.0209231850740026,3.251202435312025
5.0,2.0640514928319154,3.2199831906072403
5.0,2.1067110146359376,3.185925080331474
5.0,2.146557820716618,3.142183376125538
5.0,2.1878109846589693,3.0931860461540834
5.0,2.2290641486013207,3.044519779222976
5.0,2.269567255017447,2.9930063701448795
5.0,2.309695332670462,2.9274558881560413
5.0,2.350573467849701,2.8487953097694354
5.0,2.380950797661796,2.775071249162236
5.0,2.403452523448533,2.7044628596125304
5.0,2.42595424923527,2.610385778980402
5.0,2.4409553997597615,2.5245025085968775
10.0,0.00000000,3.97407407
10.0,0.02764531,3.90693900
10.0,0.06889847,3.86423187
10.0,0.11015164,3.84503021
10.0,0.15140480,3.83410513
10.0,0.19265796,3.82516643
10.0,0.23391113,3.81788304
10.0,0.27516429,3.81126178
10.0,0.31641746,3.79901245
