Complexity,Loss,Equation
5,0.1415826,"d = 0.8262559; e = 2.4370785; f = 1.2696979; g = 2.7386935; h = 1.0896828; p1 = [-0.00013334728]; p2 = [-0.037495513]; p3 = [-1.860748]; p4 = [0.1828995]; p5 = [-0.009285139]"
6,0.014987052,"d = #1; e = 1.750163; f = 1.7432467; g = 4.02136; h = exp(#2); p1 = [-0.00018178526]; p2 = [-0.10732147]; p3 = [1.8080505]; p4 = [-0.24146089]; p5 = [-0.014681858]"
8,0.012615347,"d = #1; e = 4.2365522; f = 4.21979; g = 4.028829; h = exp(#2) - #1; p1 = [-0.00024798003]; p2 = [-0.118860826]; p3 = [4.0861635]; p4 = [-0.28409734]; p5 = [0.07718387]"
10,0.0113293165,"d = #1; e = 2.2003496; f = 2.1917112; g = 4.0349083; h = (exp(#2) - #1) - #1; p1 = [-0.00018178526]; p2 = [-0.10732147]; p3 = [1.8080505]; p4 = [-0.24146089]; p5 = [-0.014681858]"
11,0.007727116,"d = log(#1); e = -0.16336742 - #1; f = 5.550159; g = 2.6645992; h = exp(#1) + #2; p1 = [-2.2537508e-5]; p2 = [-0.13228661]; p3 = [0.4082183]; p4 = [-0.11639516]; p5 = [-0.0066752583]"
12,0.007709185,"d = log(#1); e = 0.77743286 - #1; f = 6.523924; g = 2.6252806; h = #2 + exp(exp(#1)); p1 = [-1.6830088e-5]; p2 = [-0.17052254]; p3 = [0.44067693]; p4 = [-0.21197277]; p5 = [-0.010168037]"
13,0.0073829982,"d = log(#1); e = 0.040130213 - #1; f = 5.7612133; g = 2.6771636; h = #2 + exp(#1 * 0.4180934); p1 = [-5.9369708e-5]; p2 = [-0.61107564]; p3 = [-1.3713654]; p4 = [-0.1646734]; p5 = [-0.03565868]"
