Fz,sr,sa_deg,Fx,Fy
200,-0.25,-12.0,-2.581319628411406,9.95696259073198
200,-0.25,-11.8,-2.5944254959033994,10.034862386029653
200,-0.25,-11.6,-2.6077775786915414,10.112777896068636
200,-0.25,-11.4,-2.621381679364497,10.1907088518184
200,-0.25,-11.2,-2.6352437266576056,10.268654984272175
200,-0.25,-11.0,-2.6493697748830827,10.34661602445056
200,-0.25,-10.8,-2.66376600288281,10.424591703405156
200,-0.25,-10.6,-2.6784387124435494,10.502581752222186
200,-0.25,-10.4,-2.693394326108467,10.580585902026117
200,-0.25,-10.2,-2.708639384312322,10.658603883983293
200,-0.25,-10.0,-2.724180541760653,10.736635429305547
200,-0.25,-9.8,-2.7400245629656426,10.81468026925384
200,-0.25,-9.6,-2.7561783168431973,10.892738135141874
200,-0.25,-9.4,-2.772648770266861,10.97080875833972
200,-0.25,-9.2,-2.7894429804647642,11.048891870277444
200,-0.25,-9.0,-2.806568086135632,11.126987202448726
200,-0.25,-8.8,-2.824031297149033,11.205094486414495
200,-0.25,-8.6,-2.841839882683578,11.283213453806534
200,-0.25,-8.4,-2.8600011576445366,11.361343836331102
200,-0.25,-8.2,-2.8785224671895295,11.439485365772581
200,-0.25,-8.0,-2.897411169177463,11.517637773997057
200,-0.25,-7.8,-2.9166746143418236,11.595800792955965
200,-0.25,-7.6,-2.9363201239749186,11.673974154689695
200,-0.25,-7.3999999999999995,-2.9563549648947154,11.752157591331207
200,-0.25,-7.199999999999999,-2.9767863214507804,11.830350835109648
200,-0.25,-7.0,-2.9976212643105318,11.908553618353963
200,-0.25,-6.8,-3.0188667157519906,11.986765673496501
200,-0.25,-6.6,-3.0405294111745502,12.064986733076628
200,-0.25,-6.3999999999999995,-3.062615856525426,12.143216529744329
200,-0.25,-6.199999999999999,-3.0851322813268043,12.22145479626381
200,-0.25,-6.0,-3.108084586977768,12.299701265517108
200,-0.25,-5.8,-3.1314782899963935,12.377955670507681
200,-0.25,-5.6,-3.155318459861774,12.456217744364007
200,-0.25,-5.3999999999999995,-3.1796096511138163,12.534487220343179
200,-0.25,-5.199999999999999,-3.2043558293715204,12.612763831834492
200,-0.25,-5.0,-3.2295602909390504,12.691047312363036
200,-0.25,-4.8,-3.255225575684541,12.769337395593277
200,-0.25,-4.6,-3.281353372900477,12.847633815332637
200,-0.25,-4.3999999999999995,-3.3079444198882277,12.92593630553508
200,-0.25,-4.199999999999999,-3.3349983930544704,13.004244600304675
200,-0.25,-4.0,-3.3625137913655365,13.082558433899178
