ks_f_N_per_mm,ks_r_N_per_mm,best_ay_g,best_ay_mps2,Kf_Nm_per_rad,Kr_Nm_per_rad,fn_front_hz,fn_rear_hz
5.0,5.0,0.1,0.9806699999999999,4371.125,4371.125,1.1166395676584502,1.1166395676584502
5.0,7.5,0.1,0.9806699999999999,4371.125,6556.6875,1.1166395676584502,1.367598583682608
5.0,10.0,0.1,0.9806699999999999,4371.125,8742.25,1.1166395676584502,1.5791668208650094
5.0,12.5,0.1,0.9806699999999999,4371.125,10927.8125,1.1166395676584502,1.765562179633197
5.0,15.0,0.1,0.9806699999999999,4371.125,13113.375,1.1166395676584502,1.9340764649261803
5.0,17.5,0.1,0.9806699999999999,4371.125,15298.9375,1.1166395676584502,2.08904134334665
5.0,20.0,0.1,0.9806699999999999,4371.125,17484.5,1.1166395676584502,2.2332791353169004
5.0,22.5,0.1,0.9806699999999999,4371.125,19670.0625,1.1166395676584502,2.368750231297514
5.0,25.0,0.1,0.9806699999999999,4371.125,21855.625,1.1166395676584502,2.49688197965027
5.0,27.5,0.1,0.9806699999999999,4371.125,24041.1875,1.1166395676584502,2.6187519130938073
5.0,30.0,0.1,0.9806699999999999,4371.125,26226.75,1.1166395676584502,2.735197167365216
5.0,32.5,0.1,0.9806699999999999,4371.125,28412.3125,1.1166395676584502,2.846883472570124
5.0,35.0,0.1,0.9806699999999999,4371.125,30597.875,1.1166395676584502,2.954350600118942
5.0,37.5,0.1,0.9806699999999999,4371.125,32783.4375,1.1166395676584502,3.0580433990467464
5.0,40.0,0.1,0.9806699999999999,4371.125,34969.0,1.1166395676584502,3.1583336417300187
5.0,42.5,0.1,0.9806699999999999,4371.125,37154.5625,1.1166395676584502,3.255535801448638
5.0,45.0,0.1,0.9806699999999999,4371.125,39340.125,1.1166395676584502,3.34991870297535
7.5,5.0,0.1,0.9806699999999999,6556.6875,4371.125,1.367598583682608,1.1166395676584502
7.5,7.5,0.1,0.9806699999999999,6556.6875,6556.6875,1.367598583682608,1.367598583682608
7.5,10.0,0.1,0.9806699999999999,6556.6875,8742.25,1.367598583682608,1.5791668208650094
7.5,12.5,0.1,0.9806699999999999,6556.6875,10927.8125,1.367598583682608,1.765562179633197
7.5,15.0,0.1,0.9806699999999999,6556.6875,13113.375,1.367598583682608,1.9340764649261803
7.5,17.5,0.1,0.9806699999999999,6556.6875,15298.9375,1.367598583682608,2.08904134334665
7.5,20.0,0.1,0.9806699999999999,6556.6875,17484.5,1.367598583682608,2.2332791353169004
7.5,22.5,0.1,0.9806699999999999,6556.6875,19670.0625,1.367598583682608,2.368750231297514
7.5,25.0,0.1,0.9806699999999999,6556.6875,21855.625,1.367598583682608,2.49688197965027
7.5,27.5,0.1,0.9806699999999999,6556.6875,24041.1875,1.367598583682608,2.6187519130938073
7.5,30.0,0.1,0.9806699999999999,6556.6875,26226.75,1.367598583682608,2.735197167365216
7.5,32.5,0.1,0.9806699999999999,6556.6875,28412.3125,1.367598583682608,2.846883472570124
7.5,35.0,0.1,0.9806699999999999,6556.6875,30597.875,1.367598583682608,2.954350600118942
7.5,37.5,0.1,0.9806699999999999,6556.6875,32783.4375,1.367598583682608,3.0580433990467464
7.5,40.0,0.1,0.9806699999999999,6556.6875,34969.0,1.367598583682608,3.1583336417300187
7.5,42.5,0.1,0.9806699999999999,6556.6875,37154.5625,1.367598583682608,3.255535801448638
7.5,45.0,0.1,0.9806699999999999,6556.6875,39340.125,1.367598583682608,3.34991870297535
10.0,5.0,0.1,0.9806699999999999,8742.25,4371.125,1.5791668208650094,1.1166395676584502
10.0,7.5,0.1,0.9806699999999999,8742.25,6556.6875,1.5791668208650094,1.367598583682608
10.0,10.0,0.1,0.9806699999999999,8742.25,8742.25,1.5791668208650094,1.5791668208650094
10.0,12.5,0.1,0.9806699999999999,8742.25,10927.8125,1.5791668208650094,1.765562179633197
10.0,15.0,0.1,0.9806699999999999,8742.25,13113.375,1.5791668208650094,1.9340764649261803
10.0,17.5,0.1,0.9806699999999999,8742.25,15298.9375,1.5791668208650094,2.08904134334665
10.0,20.0,0.1,0.9806699999999999,8742.25,17484.5,1.5791668208650094,2.2332791353169004
10.0,22.5,0.1,0.9806699999999999,8742.25,19670.0625,1.5791668208650094,2.368750231297514
10.0,25.0,0.1,0.9806699999999999,8742.25,21855.625,1.5791668208650094,2.49688197965027
10.0,27.5,0.1,0.9806699999999999,8742.25,24041.1875,1.5791668208650094,2.6187519130938073
10.0,30.0,0.1,0.9806699999999999,8742.25,26226.75,1.5791668208650094,2.735197167365216
10.0,32.5,0.1,0.9806699999999999,8742.25,28412.3125,1.5791668208650094,2.846883472570124
10.0,35.0,0.1,0.9806699999999999,8742.25,30597.875,1.5791668208650094,2.954350600118942
10.0,37.5,0.1,0.9806699999999999,8742.25,32783.4375,1.5791668208650094,3.0580433990467464
10.0,40.0,0.1,0.9806699999999999,8742.25,34969.0,1.5791668208650094,3.1583336417300187
10.0,42.5,0.1,0.9806699999999999,8742.25,37154.5625,1.5791668208650094,3.255535801448638
10.0,45.0,0.1,0.9806699999999999,8742.25,39340.125,1.5791668208650094,3.34991870297535
12.5,5.0,0.1,0.9806699999999999,10927.8125,4371.125,1.765562179633197,1.1166395676584502
12.5,7.5,0.1,0.9806699999999999,10927.8125,6556.6875,1.765562179633197,1.367598583682608
12.5,10.0,0.1,0.9806699999999999,10927.8125,8742.25,1.765562179633197,1.5791668208650094
12.5,12.5,0.1,0.9806699999999999,10927.8125,10927.8125,1.765562179633197,1.765562179633197
12.5,15.0,0.1,0.9806699999999999,10927.8125,13113.375,1.765562179633197,1.9340764649261803
12.5,17.5,0.1,0.9806699999999999,10927.8125,15298.9375,1.765562179633197,2.08904134334665
12.5,20.0,0.1,0.9806699999999999,10927.8125,17484.5,1.765562179633197,2.2332791353169004
12.5,22.5,0.1,0.9806699999999999,10927.8125,19670.0625,1.765562179633197,2.368750231297514
12.5,25.0,0.1,0.9806699999999999,10927.8125,21855.625,1.765562179633197,2.49688197965027
12.5,27.5,0.1,0.9806699999999999,10927.8125,24041.1875,1.765562179633197,2.6187519130938073
12.5,30.0,0.1,0.9806699999999999,10927.8125,26226.75,1.765562179633197,2.735197167365216
12.5,32.5,0.1,0.9806699999999999,10927.8125,28412.3125,1.765562179633197,2.846883472570124
12.5,35.0,0.1,0.9806699999999999,10927.8125,30597.875,1.765562179633197,2.954350600118942
12.5,37.5,0.1,0.9806699999999999,10927.8125,32783.4375,1.765562179633197,3.0580433990467464
12.5,40.0,0.1,0.9806699999999999,10927.8125,34969.0,1.765562179633197,3.1583336417300187
12.5,42.5,0.1,0.9806699999999999,10927.8125,37154.5625,1.765562179633197,3.255535801448638
12.5,45.0,0.1,0.9806699999999999,10927.8125,39340.125,1.765562179633197,3.34991870297535
15.0,5.0,0.1,0.9806699999999999,13113.375,4371.125,1.9340764649261803,1.1166395676584502
15.0,7.5,0.1,0.9806699999999999,13113.375,6556.6875,1.9340764649261803,1.367598583682608
15.0,10.0,0.1,0.9806699999999999,13113.375,8742.25,1.9340764649261803,1.5791668208650094
15.0,12.5,0.1,0.9806699999999999,13113.375,10927.8125,1.9340764649261803,1.765562179633197
15.0,15.0,0.1,0.9806699999999999,13113.375,13113.375,1.9340764649261803,1.9340764649261803
15.0,17.5,0.1,0.9806699999999999,13113.375,15298.9375,1.9340764649261803,2.08904134334665
15.0,20.0,0.1,0.9806699999999999,13113.375,17484.5,1.9340764649261803,2.2332791353169004
15.0,22.5,0.1,0.9806699999999999,13113.375,19670.0625,1.9340764649261803,2.368750231297514
15.0,25.0,0.1,0.9806699999999999,13113.375,21855.625,1.9340764649261803,2.49688197965027
15.0,27.5,0.1,0.9806699999999999,13113.375,24041.1875,1.9340764649261803,2.6187519130938073
15.0,30.0,0.1,0.9806699999999999,13113.375,26226.75,1.9340764649261803,2.735197167365216
15.0,32.5,0.1,0.9806699999999999,13113.375,28412.3125,1.9340764649261803,2.846883472570124
15.0,35.0,0.1,0.9806699999999999,13113.375,30597.875,1.9340764649261803,2.954350600118942
15.0,37.5,0.1,0.9806699999999999,13113.375,32783.4375,1.9340764649261803,3.0580433990467464
15.0,40.0,0.1,0.9806699999999999,13113.375,34969.0,1.9340764649261803,3.1583336417300187
15.0,42.5,0.1,0.9806699999999999,13113.375,37154.5625,1.9340764649261803,3.255535801448638
15.0,45.0,0.1,0.9806699999999999,13113.375,39340.125,1.9340764649261803,3.34991870297535
17.5,5.0,0.1,0.9806699999999999,15298.9375,4371.125,2.08904134334665,1.1166395676584502
17.5,7.5,0.1,0.9806699999999999,15298.9375,6556.6875,2.08904134334665,1.367598583682608
17.5,10.0,0.1,0.9806699999999999,15298.9375,8742.25,2.08904134334665,1.5791668208650094
17.5,12.5,0.1,0.9806699999999999,15298.9375,10927.8125,2.08904134334665,1.765562179633197
17.5,15.0,0.1,0.9806699999999999,15298.9375,13113.375,2.08904134334665,1.9340764649261803
17.5,17.5,0.1,0.9806699999999999,15298.9375,15298.9375,2.08904134334665,2.08904134334665
17.5,20.0,0.1,0.9806699999999999,15298.9375,17484.5,2.08904134334665,2.2332791353169004
17.5,22.5,0.1,0.9806699999999999,15298.9375,19670.0625,2.08904134334665,2.368750231297514
17.5,25.0,0.1,0.9806699999999999,15298.9375,21855.625,2.08904134334665,2.49688197965027
17.5,27.5,0.1,0.9806699999999999,15298.9375,24041.1875,2.08904134334665,2.6187519130938073
17.5,30.0,0.1,0.9806699999999999,15298.9375,26226.75,2.08904134334665,2.735197167365216
17.5,32.5,0.1,0.9806699999999999,15298.9375,28412.3125,2.08904134334665,2.846883472570124
17.5,35.0,0.1,0.9806699999999999,15298.9375,30597.875,2.08904134334665,2.954350600118942
17.5,37.5,0.1,0.9806699999999999,15298.9375,32783.4375,2.08904134334665,3.0580433990467464
17.5,40.0,0.1,0.9806699999999999,15298.9375,34969.0,2.08904134334665,3.1583336417300187
17.5,42.5,0.1,0.9806699999999999,15298.9375,37154.5625,2.08904134334665,3.255535801448638
17.5,45.0,0.1,0.9806699999999999,15298.9375,39340.125,2.08904134334665,3.34991870297535
20.0,5.0,0.1,0.9806699999999999,17484.5,4371.125,2.2332791353169004,1.1166395676584502
20.0,7.5,0.1,0.9806699999999999,17484.5,6556.6875,2.2332791353169004,1.367598583682608
20.0,10.0,0.1,0.9806699999999999,17484.5,8742.25,2.2332791353169004,1.5791668208650094
20.0,12.5,0.1,0.9806699999999999,17484.5,10927.8125,2.2332791353169004,1.765562179633197
20.0,15.0,0.1,0.9806699999999999,17484.5,13113.375,2.2332791353169004,1.9340764649261803
20.0,17.5,0.1,0.9806699999999999,17484.5,15298.9375,2.2332791353169004,2.08904134334665
20.0,20.0,0.1,0.9806699999999999,17484.5,17484.5,2.2332791353169004,2.2332791353169004
20.0,22.5,0.1,0.9806699999999999,17484.5,19670.0625,2.2332791353169004,2.368750231297514
20.0,25.0,0.1,0.9806699999999999,17484.5,21855.625,2.2332791353169004,2.49688197965027
20.0,27.5,0.1,0.9806699999999999,17484.5,24041.1875,2.2332791353169004,2.6187519130938073
20.0,30.0,0.1,0.9806699999999999,17484.5,26226.75,2.2332791353169004,2.735197167365216
20.0,32.5,0.1,0.9806699999999999,17484.5,28412.3125,2.2332791353169004,2.846883472570124
20.0,35.0,0.1,0.9806699999999999,17484.5,30597.875,2.2332791353169004,2.954350600118942
20.0,37.5,0.1,0.9806699999999999,17484.5,32783.4375,2.2332791353169004,3.0580433990467464
20.0,40.0,0.1,0.9806699999999999,17484.5,34969.0,2.2332791353169004,3.1583336417300187
20.0,42.5,0.1,0.9806699999999999,17484.5,37154.5625,2.2332791353169004,3.255535801448638
20.0,45.0,0.1,0.9806699999999999,17484.5,39340.125,2.2332791353169004,3.34991870297535
22.5,5.0,0.1,0.9806699999999999,19670.0625,4371.125,2.368750231297514,1.1166395676584502
22.5,7.5,0.1,0.9806699999999999,19670.0625,6556.6875,2.368750231297514,1.367598583682608
22.5,10.0,0.1,0.9806699999999999,19670.0625,8742.25,2.368750231297514,1.5791668208650094
22.5,12.5,0.1,0.9806699999999999,19670.0625,10927.8125,2.368750231297514,1.765562179633197
22.5,15.0,0.1,0.9806699999999999,19670.0625,13113.375,2.368750231297514,1.9340764649261803
22.5,17.5,0.1,0.9806699999999999,19670.0625,15298.9375,2.368750231297514,2.08904134334665
22.5,20.0,0.1,0.9806699999999999,19670.0625,17484.5,2.368750231297514,2.2332791353169004
22.5,22.5,0.1,0.9806699999999999,19670.0625,19670.0625,2.368750231297514,2.368750231297514
22.5,25.0,0.1,0.9806699999999999,19670.0625,21855.625,2.368750231297514,2.49688197965027
22.5,27.5,0.1,0.9806699999999999,19670.0625,24041.1875,2.368750231297514,2.6187519130938073
22.5,30.0,0.1,0.9806699999999999,19670.0625,26226.75,2.368750231297514,2.735197167365216
22.5,32.5,0.1,0.9806699999999999,19670.0625,28412.3125,2.368750231297514,2.846883472570124
22.5,35.0,0.1,0.9806699999999999,19670.0625,30597.875,2.368750231297514,2.954350600118942
22.5,37.5,0.1,0.9806699999999999,19670.0625,32783.4375,2.368750231297514,3.0580433990467464
22.5,40.0,0.1,0.9806699999999999,19670.0625,34969.0,2.368750231297514,3.1583336417300187
22.5,42.5,0.1,0.9806699999999999,19670.0625,37154.5625,2.368750231297514,3.255535801448638
22.5,45.0,0.1,0.9806699999999999,19670.0625,39340.125,2.368750231297514,3.34991870297535
25.0,5.0,0.1,0.9806699999999999,21855.625,4371.125,2.49688197965027,1.1166395676584502
25.0,7.5,0.1,0.9806699999999999,21855.625,6556.6875,2.49688197965027,1.367598583682608
25.0,10.0,0.1,0.9806699999999999,21855.625,8742.25,2.49688197965027,1.5791668208650094
25.0,12.5,0.1,0.9806699999999999,21855.625,10927.8125,2.49688197965027,1.765562179633197
25.0,15.0,0.1,0.9806699999999999,21855.625,13113.375,2.49688197965027,1.9340764649261803
25.0,17.5,0.1,0.9806699999999999,21855.625,15298.9375,2.49688197965027,2.08904134334665
25.0,20.0,0.1,0.9806699999999999,21855.625,17484.5,2.49688197965027,2.2332791353169004
25.0,22.5,0.1,0.9806699999999999,21855.625,19670.0625,2.49688197965027,2.368750231297514
25.0,25.0,0.1,0.9806699999999999,21855.625,21855.625,2.49688197965027,2.49688197965027
25.0,27.5,0.1,0.9806699999999999,21855.625,24041.1875,2.49688197965027,2.6187519130938073
25.0,30.0,0.1,0.9806699999999999,21855.625,26226.75,2.49688197965027,2.735197167365216
25.0,32.5,0.1,0.9806699999999999,21855.625,28412.3125,2.49688197965027,2.846883472570124
25.0,35.0,0.1,0.9806699999999999,21855.625,30597.875,2.49688197965027,2.954350600118942
25.0,37.5,0.1,0.9806699999999999,21855.625,32783.4375,2.49688197965027,3.0580433990467464
25.0,40.0,0.1,0.9806699999999999,21855.625,34969.0,2.49688197965027,3.1583336417300187
25.0,42.5,0.1,0.9806699999999999,21855.625,37154.5625,2.49688197965027,3.255535801448638
25.0,45.0,0.1,0.9806699999999999,21855.625,39340.125,2.49688197965027,3.34991870297535
27.5,5.0,0.1,0.9806699999999999,24041.1875,4371.125,2.6187519130938073,1.1166395676584502
27.5,7.5,0.1,0.9806699999999999,24041.1875,6556.6875,2.6187519130938073,1.367598583682608
27.5,10.0,0.1,0.9806699999999999,24041.1875,8742.25,2.6187519130938073,1.5791668208650094
27.5,12.5,0.1,0.9806699999999999,24041.1875,10927.8125,2.6187519130938073,1.765562179633197
27.5,15.0,0.1,0.9806699999999999,24041.1875,13113.375,2.6187519130938073,1.9340764649261803
27.5,17.5,0.1,0.9806699999999999,24041.1875,15298.9375,2.6187519130938073,2.08904134334665
27.5,20.0,0.1,0.9806699999999999,24041.1875,17484.5,2.6187519130938073,2.2332791353169004
27.5,22.5,0.1,0.9806699999999999,24041.1875,19670.0625,2.6187519130938073,2.368750231297514
27.5,25.0,0.1,0.9806699999999999,24041.1875,21855.625,2.6187519130938073,2.49688197965027
27.5,27.5,0.1,0.9806699999999999,24041.1875,24041.1875,2.6187519130938073,2.6187519130938073
27.5,30.0,0.1,0.9806699999999999,24041.1875,26226.75,2.6187519130938073,2.735197167365216
27.5,32.5,0.1,0.9806699999999999,24041.1875,28412.3125,2.6187519130938073,2.846883472570124
27.5,35.0,0.1,0.9806699999999999,24041.1875,30597.875,2.6187519130938073,2.954350600118942
27.5,37.5,0.1,0.9806699999999999,24041.1875,32783.4375,2.6187519130938073,3.0580433990467464
27.5,40.0,0.1,0.9806699999999999,24041.1875,34969.0,2.6187519130938073,3.1583336417300187
27.5,42.5,0.1,0.9806699999999999,24041.1875,37154.5625,2.6187519130938073,3.255535801448638
27.5,45.0,0.1,0.9806699999999999,24041.1875,39340.125,2.6187519130938073,3.34991870297535
30.0,5.0,0.1,0.9806699999999999,26226.75,4371.125,2.735197167365216,1.1166395676584502
30.0,7.5,0.1,0.9806699999999999,26226.75,6556.6875,2.735197167365216,1.367598583682608
30.0,10.0,0.1,0.9806699999999999,26226.75,8742.25,2.735197167365216,1.5791668208650094
30.0,12.5,0.1,0.9806699999999999,26226.75,10927.8125,2.735197167365216,1.765562179633197
30.0,15.0,0.1,0.9806699999999999,26226.75,13113.375,2.735197167365216,1.9340764649261803
30.0,17.5,0.1,0.9806699999999999,26226.75,15298.9375,2.735197167365216,2.08904134334665
30.0,20.0,0.1,0.9806699999999999,26226.75,17484.5,2.735197167365216,2.2332791353169004
30.0,22.5,0.1,0.9806699999999999,26226.75,19670.0625,2.735197167365216,2.368750231297514
30.0,25.0,0.1,0.9806699999999999,26226.75,21855.625,2.735197167365216,2.49688197965027
30.0,27.5,0.1,0.9806699999999999,26226.75,24041.1875,2.735197167365216,2.6187519130938073
30.0,30.0,0.1,0.9806699999999999,26226.75,26226.75,2.735197167365216,2.735197167365216
30.0,32.5,0.1,0.9806699999999999,26226.75,28412.3125,2.735197167365216,2.846883472570124
30.0,35.0,0.1,0.9806699999999999,26226.75,30597.875,2.735197167365216,2.954350600118942
30.0,37.5,0.1,0.9806699999999999,26226.75,32783.4375,2.735197167365216,3.0580433990467464
30.0,40.0,0.1,0.9806699999999999,26226.75,34969.0,2.735197167365216,3.1583336417300187
30.0,42.5,0.1,0.9806699999999999,26226.75,37154.5625,2.735197167365216,3.255535801448638
30.0,45.0,0.1,0.9806699999999999,26226.75,39340.125,2.735197167365216,3.34991870297535
32.5,5.0,0.1,0.9806699999999999,28412.3125,4371.125,2.846883472570124,1.1166395676584502
32.5,7.5,0.1,0.9806699999999999,28412.3125,6556.6875,2.846883472570124,1.367598583682608
32.5,10.0,0.1,0.9806699999999999,28412.3125,8742.25,2.846883472570124,1.5791668208650094
32.5,12.5,0.1,0.9806699999999999,28412.3125,10927.8125,2.846883472570124,1.765562179633197
32.5,15.0,0.1,0.9806699999999999,28412.3125,13113.375,2.846883472570124,1.9340764649261803
32.5,17.5,0.1,0.9806699999999999,28412.3125,15298.9375,2.846883472570124,2.08904134334665
32.5,20.0,0.1,0.9806699999999999,28412.3125,17484.5,2.846883472570124,2.2332791353169004
32.5,22.5,0.1,0.9806699999999999,28412.3125,19670.0625,2.846883472570124,2.368750231297514
32.5,25.0,0.1,0.9806699999999999,28412.3125,21855.625,2.846883472570124,2.49688197965027
32.5,27.5,0.1,0.9806699999999999,28412.3125,24041.1875,2.846883472570124,2.6187519130938073
32.5,30.0,0.1,0.9806699999999999,28412.3125,26226.75,2.846883472570124,2.735197167365216
32.5,32.5,0.1,0.9806699999999999,28412.3125,28412.3125,2.846883472570124,2.846883472570124
32.5,35.0,0.1,0.9806699999999999,28412.3125,30597.875,2.846883472570124,2.954350600118942
32.5,37.5,0.1,0.9806699999999999,28412.3125,32783.4375,2.846883472570124,3.0580433990467464
32.5,40.0,0.1,0.9806699999999999,28412.3125,34969.0,2.846883472570124,3.1583336417300187
32.5,42.5,0.1,0.9806699999999999,28412.3125,37154.5625,2.846883472570124,3.255535801448638
32.5,45.0,0.1,0.9806699999999999,28412.3125,39340.125,2.846883472570124,3.34991870297535
35.0,5.0,0.1,0.9806699999999999,30597.875,4371.125,2.954350600118942,1.1166395676584502
35.0,7.5,0.1,0.9806699999999999,30597.875,6556.6875,2.954350600118942,1.367598583682608
35.0,10.0,0.1,0.9806699999999999,30597.875,8742.25,2.954350600118942,1.5791668208650094
35.0,12.5,0.1,0.9806699999999999,30597.875,10927.8125,2.954350600118942,1.765562179633197
35.0,15.0,0.1,0.9806699999999999,30597.875,13113.375,2.954350600118942,1.9340764649261803
35.0,17.5,0.1,0.9806699999999999,30597.875,15298.9375,2.954350600118942,2.08904134334665
35.0,20.0,0.1,0.9806699999999999,30597.875,17484.5,2.954350600118942,2.2332791353169004
35.0,22.5,0.1,0.9806699999999999,30597.875,19670.0625,2.954350600118942,2.368750231297514
35.0,25.0,0.1,0.9806699999999999,30597.875,21855.625,2.954350600118942,2.49688197965027
35.0,27.5,0.1,0.9806699999999999,30597.875,24041.1875,2.954350600118942,2.6187519130938073
35.0,30.0,0.1,0.9806699999999999,30597.875,26226.75,2.954350600118942,2.735197167365216
