Fz,ax_g,ay_g
200,0.0017859896743055766,0.00667552953935467
200,0.00178426005724723,0.006965785191071033
200,0.0017754716166354825,0.007289033461396821
200,0.001767525364400726,0.00746396026620333
200,0.0017546152154817188,0.007683711365674472
200,0.0017401052021788143,0.007878338173516823
200,0.0017214924605873279,0.00808265321952129
200,0.0016981013310694451,0.008296654775775045
200,0.001669184413862699,0.008520172536654127
200,0.0016339288087964087,0.008752826670953014
200,0.0015848431164652858,0.009035579393934729
200,0.0015848431164652858,0.009035579393934729
200,0.001534170559326345,0.009285463001409172
200,0.001534170559326345,0.009285463001409172
200,0.001463700162217931,0.009585609470735085
200,0.0013943555460360125,0.009847747632752236
200,0.0013943555460360125,0.009847747632752236
200,0.001314630548546289,0.010112603029434728
200,0.0013002761518797704,0.010158933320700513
200,0.0001347664558057712,0.013594153446586621
200,0.0001347664558057712,0.013594153446586621
200,6.383993592391009e-05,0.01378311497898274
200,6.383993592391009e-05,0.01378311497898274
200,6.383993592391009e-05,0.01378311497898274
200,-7.0710925396534166e-06,0.01394749584280887
200,-7.0710925396534166e-06,0.01394749584280887
200,-7.0710925396534166e-06,0.01394749584280887
200,-7.741760237333271e-05,0.01408668521078546
200,-7.741760237333271e-05,0.01408668521078546
200,-7.741760237333271e-05,0.01408668521078546
200,-7.741760237333271e-05,0.01408668521078546
200,-7.741760237333271e-05,0.01408668521078546
200,-0.00014667416059296214,0.014200562639556975
200,-0.00014667416059296214,0.014200562639556975
200,-0.00014667416059296214,0.014200562639556975
200,-0.00014667416059296214,0.014200562639556975
200,-0.00014667416059296214,0.014200562639556975
200,-0.00014667416059296214,0.014200562639556975
200,-0.000214358814713259,0.014289357472598983
200,-0.000214358814713259,0.014289357472598983
200,-0.000214358814713259,0.014289357472598983
200,-0.000214358814713259,0.014289357472598983
200,-0.000214358814713259,0.014289357472598983
200,-0.000214358814713259,0.014289357472598983
200,-0.000214358814713259,0.014289357472598983
200,-0.000214358814713259,0.014289357472598983
200,-0.00028004945649286254,0.014353487728249997
200,-0.00028004945649286254,0.014353487728249997
200,-0.00028004945649286254,0.014353487728249997
200,-0.00028004945649286254,0.014353487728249997
200,-0.00028004945649286254,0.014353487728249997
200,-0.00028004945649286254,0.014353487728249997
200,-0.00028004945649286254,0.014353487728249997
200,-0.00028004945649286254,0.014353487728249997
200,-0.00028004945649286254,0.014353487728249997
200,-0.00028004945649286254,0.014353487728249997
200,-0.00028004945649286254,0.014353487728249997
200,-0.00028004945649286254,0.014353487728249997
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0003433949633258452,0.01439340247742285
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.0004041207497548997,0.014409449289475343
200,-0.00046202908383182595,0.01440178345241437
200,-0.00046202908383182595,0.01440178345241437
200,-0.00046202908383182595,0.01440178345241437
200,-0.00046202908383182595,0.01440178345241437
