0-4.3 0-4.3 X,0-4.3 0-4.3 Y,2-4.3 2-4.3 X,2-4.3 2-4.3 Y,4-4.3 4-4.3 X,4-4.3 4-4.3 Y,6-4.3 6-4.3 X,6-4.3 6-4.3 Y,10-4.3 10-4.3 X,10-4.3 10-4.3 Y,15-4.3 15-4.3 X,15-4.3 15-4.3 Y,25-4.3 25-4.3 X,25-4.3 25-4.3 Y
0.07656300183293896,-16.477704260832382,0.05689271385752279,5.910374521215658,0.23099308879521233,6.302322679164689,0.4956256587005004,6.020120005441385,0.41181312732698816,-3.9667190590996313,0.47167922116521127,3.166737415572527,0.6854866991588651,3.715464836701159
0.1392085928850795,-28.556566618426302,0.21938639713269972,-7.807811007000026,0.3262901361295266,-5.612901322485527,0.486645744624767,-4.172491842022879,0.7282481947575958,-3.9667190590996313,1.000971511131723,4.812919678958394,0.7795619894760727,3.715464836701159
0.14241570505498433,37.73656494667608,0.31346168744990743,-9.316811415103757,0.4609888472655286,-5.064173901356895,0.5614783619225459,-4.515446480228263,0.792390438155692,-3.9667190590996313,1.0617878604276958,4.812919678958394,0.852256531993915,3.715464836701159
0.21724832235276317,45.281566987194736,0.4075369777671151,-9.453993270385922,0.5400976141231805,-5.338537611921225,0.6598298017996266,7.556556784601554,1.0951418269947057,6.129865489667111,1.352566030499065,-3.9667190590996313,0.907846476272265,-2.869264216842396
0.20655794845308048,-37.896364598886464,0.48878381940470356,-10.368538972266975,0.7453527929970881,11.946376153630581,0.7008808375744081,-5.228792127695499,1.1515870011850304,6.45910194234429,1.3782229278583034,5.910374521215658,1.130206253385665,-2.869264216842396
0.3120363042632831,-47.49909446863745,0.5871352592817842,18.531105207174107,0.7154197460779765,-8.356538428128658,0.7624573912365804,-5.612901322485527,1.185796197664015,-5.612901322485527,1.4466413208162727,-3.9667190590996313,1.8143901829653573,4.812919678958394
0.4139512021069247,61.743389621053566,0.5999637079614035,-13.84381263941495,0.847980382434042,13.592558417016448,0.8223234850748035,8.65401162685879,1.3226329835799535,7.556556784601554,1.4748639079114352,6.349356458118564,1.8828085759233264,-3.9667190590996313
0.4631269220454651,-57.19327890857656,0.6854866991588651,21.27474231281724,1.0446832621882034,16.88492294378821,0.9335033736315035,-6.710356164742791,1.463745919055765,-6.710356164742791,1.4979551155347497,-3.9667190590996313,1.908465473282565,4.812919678958394
0.6726582504792458,73.67821103060122,0.7667335407964535,-17.54772273203318,1.083168608227061,-12.197630376029053,1.0226916358802849,9.986635363885483,1.5065074146544957,8.65401162685879,1.5449927606933533,6.45910194234429,1.9768838662405344,-3.9667190590996313
0.7624573912365804,-65.14982651494168,0.8707865134200318,-20.611450833334686,1.241386141942365,21.27474231281724,1.116902676977171,-8.051689860834983,1.719459662736175,9.970957437567506,1.8742562768035804,7.556556784601554,2.001590508142023,4.812919678958394
0.7368004938773419,76.42184813624436,0.8864657284728996,28.774017068241847,1.3910513765379227,-16.58744974505808,1.1473108516251573,11.397648732501949,1.7331433413277688,-7.807811007000026,1.9341223706418034,7.556556784601554,2.0666830069978688,-3.9667190590996313
0.8821895789130265,80.81166750527339,0.9734141028569856,32.24929073538982,1.416708273897161,25.390197971281964,1.2542145906219841,12.495103574759185,1.7759048369264996,10.300193890244685,2.1137206521564726,-5.612901322485527,2.0666830069978688,4.812919678958394
1.0104740657092188,84.37839574260947,1.0361309630684574,-25.367088483116135,1.5065074146544957,-18.233632008443976,1.2841476375410958,-9.453993270385922,1.9426746697615496,11.397648732501949,2.1735867459946956,8.65401162685879,2.4472603178265726,5.910374521215658
1.0874447577869342,-72.28328298961384,1.098135131686617,36.91347381498315,1.5407166111334805,28.225289647113215,1.3696706287385574,13.866922127580779,2.079511455677488,-9.453993270385922,2.1735867459946956,-5.612901322485527,2.5404803782318055,6.129865489667111
1.181520048104142,88.21948769050987,1.1729677489843957,-29.48254414158086,1.7074864439685304,31.97492702482549,1.4295367225767803,-10.551448112643186,2.0923399043571074,12.495103574759185,2.421603420467334,9.851235091139444,2.635410898460988,6.45910194234429
1.241386141942365,-74.20382896356404,1.237109992382492,41.57765689457648,1.8657039776838342,-23.172178798601635,1.4894028164150035,15.238740680402344,2.2458061607836632,13.836437270851405,2.490021813425303,-6.710356164742791,2.695276992299211,6.45910194234429
