Time, Position, Speed, Acceleration, Torque, Drag, RPM, Power, Available Power, Charge, Voltage, Current, Motor Torque
0.05,0.010,0.393,7.870,558.230,0.036,63.257,1016.9,68492.015,50.000,114.153,8.9,153.51
0.05,0.010,0.401,7.870,558.230,0.037,64.522,1037.3,68487.510,50.000,114.146,9.1,153.51
0.05,0.010,0.409,7.870,558.230,0.039,65.787,1057.6,68483.006,50.000,114.138,9.3,153.51
0.05,0.011,0.417,7.870,558.230,0.040,67.053,1077.9,68478.500,50.000,114.131,9.4,153.51
0.06,0.011,0.425,7.870,558.230,0.042,68.318,1098.3,68473.994,50.000,114.123,9.6,153.51
0.06,0.012,0.433,7.870,558.230,0.044,69.583,1118.6,68469.488,50.000,114.116,9.8,153.51
0.06,0.012,0.441,7.870,558.230,0.045,70.848,1138.9,68464.980,50.000,114.108,10.0,153.51
0.06,0.013,0.449,7.870,558.230,0.047,72.113,1159.3,68460.473,50.000,114.101,10.2,153.51
0.06,0.013,0.456,7.870,558.230,0.048,73.378,1179.6,68455.964,50.000,114.093,10.3,153.51
0.06,0.013,0.464,7.870,558.230,0.050,74.643,1200.0,68451.455,50.000,114.086,10.5,153.51
0.06,0.014,0.472,7.870,558.230,0.052,75.908,1220.3,68446.946,50.000,114.078,10.7,153.51
0.06,0.014,0.480,7.870,558.230,0.054,77.174,1240.6,68442.436,50.000,114.071,10.9,153.51
0.06,0.015,0.488,7.870,558.230,0.055,78.439,1261.0,68437.925,50.000,114.063,11.1,153.51
0.06,0.015,0.496,7.870,558.230,0.057,79.704,1281.3,68433.413,50.000,114.056,11.2,153.51
0.07,0.016,0.504,7.869,558.230,0.059,80.969,1301.6,68428.902,50.000,114.048,11.4,153.51
0.07,0.016,0.512,7.869,558.230,0.061,82.234,1322.0,68424.389,50.000,114.041,11.6,153.51
0.07,0.017,0.519,7.869,558.230,0.063,83.499,1342.3,68419.876,50.000,114.033,11.8,153.51
0.07,0.017,0.527,7.869,558.230,0.065,84.764,1362.7,68415.362,50.000,114.026,12.0,153.51
0.07,0.018,0.535,7.869,558.230,0.067,86.029,1383.0,68410.848,50.000,114.018,12.1,153.51
0.07,0.018,0.543,7.869,558.230,0.069,87.295,1403.3,68406.333,50.000,114.011,12.3,153.51
0.07,0.019,0.551,7.869,558.230,0.071,88.560,1423.7,68401.817,50.000,114.003,12.5,153.51
